CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
County
GeoFips,GeoName,LineCode,Description,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
25001,"Barnstable, MA",1,Real GDP (thousands of chained 2017 dollars),12504581,11982139,12131221,12443307,11930910,12267317,12516366,12440227,12583445,12898189,13032722
25001,"Barnstable, MA",3,Current-dollar GDP (thousands of current dollars),9670372,9603953,10013283,10442259,10218941,10551912,10899246,11058887,11400834,11947200,12416079
25003,"Berkshire, MA",1,Real GDP (thousands of chained 2017 dollars),6634775,6592845,6628650,6797915,6632260,6790258,6861077,7179458,7228482,7309871,7351578
25003,"Berkshire, MA",3,Current-dollar GDP (thousands of current dollars),5042896,5191344,5368253,5629099,5658460,5815573,5981707,6419524,6586707,6808848,7040192
25005,"Bristol, MA",1,Real GDP (thousands of chained 2017 dollars),22045864,22734095,22624179,23490822,22342327,23051740,23351879,23289428,23725608,24418990,25642489
25005,"Bristol, MA",3,Current-dollar GDP (thousands of current dollars),17681792,18826646,19236822,20263081,19837094,20541662,21056804,21418461,22178772,23210231,24927342
25007,"Dukes, MA",1,Real GDP (thousands of chained 2017 dollars),1188846,1207865,1181506,1250345,1269882,1314459,1365174,1352529,1324457,1381954,1405900
25007,"Dukes, MA",3,Current-dollar GDP (thousands of current dollars),912761,965983,977941,1052904,1087652,1127860,1187846,1204273,1203903,1287146,1346630
25009,"Essex, MA",1,Real GDP (thousands of chained 2017 dollars),36985743,37673491,39109825,38979280,38371566,40597206,41131763,41518621,41529843,42331324,42924975
25009,"Essex, MA",3,Current-dollar GDP (thousands of current dollars),30564060,31834019,33586070,33772832,34138423,36094322,36963985,38064459,38686450,40076173,41558980
25011,"Franklin, MA",1,Real GDP (thousands of chained 2017 dollars),2709797,2700040,2695078,2692686,2644992,2774946,2761600,2730444,2783930,2760788,2864594
25011,"Franklin, MA",3,Current-dollar GDP (thousands of current dollars),2144317,2217073,2279618,2321432,2340262,2461392,2484860,2505388,2598473,2620681,2779990
25013,"Hampden, MA",1,Real GDP (thousands of chained 2017 dollars),20598538,20673410,20748794,20948190,20295767,21124925,21417159,21792195,21952160,21968004,22481487
25013,"Hampden, MA",3,Current-dollar GDP (thousands of current dollars),16269372,16857991,17370129,17817334,17822020,18610666,19111716,19851428,20374865,20799932,21817850
25015,"Hampshire, MA",1,Real GDP (thousands of chained 2017 dollars),6275137,6195277,6285050,6426521,6468003,6611661,6763623,6864551,6937596,6953187,7294520
25015,"Hampshire, MA",3,Current-dollar GDP (thousands of current dollars),4845234,4952671,5177700,5397745,5566342,5742619,5963119,6189908,6387480,6533699,7031476
25017,"Middlesex, MA",1,Real GDP (thousands of chained 2017 dollars),109732089,113045051,121768909,126363652,123562251,133636896,137798513,140753641,142619129,145185811,151817114
25017,"Middlesex, MA",3,Current-dollar GDP (thousands of current dollars),96913470,101783410,110927226,115563154,114946614,123792686,128676219,133011095,136150197,140014042,148737089
25019,"Nantucket, MA",1,Real GDP (thousands of chained 2017 dollars),1043733,1072703,1060860,1062434,1005629,1032771,1067431,1100044,1096883,1184181,1207499
25019,"Nantucket, MA",3,Current-dollar GDP (thousands of current dollars),792586,849801,868369,885501,857984,880972,923223,974421,990534,1096905,1154453
25021,"Norfolk, MA",1,Real GDP (thousands of chained 2017 dollars),42695205,44396089,45315254,46544313,44923064,46996507,47714385,48028415,49257119,50692148,52382963
25021,"Norfolk, MA",3,Current-dollar GDP (thousands of current dollars),35367925,37826939,39455140,40870481,40245572,42143618,43256188,44287588,46104618,48237638,50844692
25023,"Plymouth, MA",1,Real GDP (thousands of chained 2017 dollars),21062206,21607845,21566229,22561202,21466991,22540813,22929943,23208809,23764466,24511397,25200635
25023,"Plymouth, MA",3,Current-dollar GDP (thousands of current dollars),16355319,17400222,17871415,18998918,18642233,19632033,20241665,20873182,21781803,22954956,24176503
25025,"Suffolk, MA",1,Real GDP (thousands of chained 2017 dollars),98301896,100998909,101893833,99536850,103787078,104970847,106956462,112817781,111298291,113314002,118465186
25025,"Suffolk, MA",3,Current-dollar GDP (thousands of current dollars),74561400,79169712,82641889,81656133,84610658,87495595,90924287,98482175,99964854,104968962,112823294
25027,"Worcester, MA",1,Real GDP (thousands of chained 2017 dollars),36333992,36993592,37772562,38494481,37055619,38618161,39955429,40313037,40874611,41329179,42303509
25027,"Worcester, MA",3,Current-dollar GDP (thousands of current dollars),29516258,30938525,32211704,33252551,32991622,34379092,36014006,37033118,38170880,39268500,41112384
36001,"Albany, NY",1,Real GDP (thousands of chained 2017 dollars),26809437,26733314,26818457,27217830,28317463,28260925,28452103,28723744,29431456,30329961,30964946
36001,"Albany, NY",3,Current-dollar GDP (thousands of current dollars),20876044,21538544,22221413,22958596,24429266,24677028,25197054,25998359,27247945,28735895,30035306
36003,"Allegany, NY",1,Real GDP (thousands of chained 2017 dollars),1387625,1365150,1320017,1441525,1349019,1378282,1402346,1400930,1407913,1493870,1466756
36003,"Allegany, NY",3,Current-dollar GDP (thousands of current dollars),1053798,1066923,1067139,1194595,1154790,1184114,1225550,1256771,1297084,1405697,1417699
36005,"Bronx, NY",1,Real GDP (thousands of chained 2017 dollars),34109594,33890471,34594977,35380139,35812746,36419511,36492921,37064343,38015572,38445020,38609160
36005,"Bronx, NY",3,Current-dollar GDP (thousands of current dollars),26050059,26808747,28184086,29449515,30636527,31433826,31940899,33174524,34757395,35902121,37064544
36007,"Broome, NY",1,Real GDP (thousands of chained 2017 dollars),7997363,8248067,8492371,8968696,8988337,9431511,9462077,9530681,9306605,9125273,9047065
36007,"Broome, NY",3,Current-dollar GDP (thousands of current dollars),6639306,7005853,7346577,7821346,8018134,8425320,8528899,8767847,8703897,8679912,8799201
36009,"Cattaraugus, NY",1,Real GDP (thousands of chained 2017 dollars),2971567,2993265,2937870,2999624,2988842,3075837,3113249,3029292,3078891,3106078,3074534
36009,"Cattaraugus, NY",3,Current-dollar GDP (thousands of current dollars),2296476,2386768,2416896,2520627,2580224,2674555,2750573,2740234,2859708,2944404,2971446
36011,"Cayuga, NY",1,Real GDP (thousands of chained 2017 dollars),2549814,2453606,2631541,2632145,2488040,2832555,2783202,2795632,2894548,2980273,2920122
36011,"Cayuga, NY",3,Current-dollar GDP (thousands of current dollars),1999901,1989571,2204674,2240255,2146569,2465819,2483721,2551002,2702961,2829447,2820185
36013,"Chautauqua, NY",1,Real GDP (thousands of chained 2017 dollars),5279772,5362325,5442268,5495857,5337010,5593234,5493158,5314271,5168399,5080173,4954943
36013,"Chautauqua, NY",3,Current-dollar GDP (thousands of current dollars),4144010,4329277,4502773,4649259,4704039,4930524,4902624,4864305,4829212,4842247,4824578
36015,"Chemung, NY",1,Real GDP (thousands of chained 2017 dollars),3501939,3465053,3562798,3769235,3744922,3879817,3972684,3982880,4012432,4011674,3880865
36015,"Chemung, NY",3,Current-dollar GDP (thousands of current dollars),2845166,2900284,3057188,3292945,3313786,3465237,3595855,3669369,3776304,3851551,3762626
36017,"Chenango, NY",1,Real GDP (thousands of chained 2017 dollars),1829391,1950214,1934578,1941085,1991111,1940603,2001659,1971074,2045628,2134380,2219193
36017,"Chenango, NY",3,Current-dollar GDP (thousands of current dollars),1422539,1552396,1576235,1619295,1710149,1675893,1761139,1782591,1892458,2019340,2155716
36019,"Clinton, NY",1,Real GDP (thousands of chained 2017 dollars),4115671,4247386,4216066,4083345,3972476,3961986,3824393,3759448,3809799,3775778,3839374
36019,"Clinton, NY",3,Current-dollar GDP (thousands of current dollars),3176348,3395488,3464303,3440346,3454864,3476750,3439879,3457953,3584375,3621143,3742315
36021,"Columbia, NY",1,Real GDP (thousands of chained 2017 dollars),2261940,2247638,2223514,2262878,2336689,2441806,2446374,2550232,2528554,2628678,2598781
36021,"Columbia, NY",3,Current-dollar GDP (thousands of current dollars),1735835,1784884,1824496,1892440,1992479,2100297,2138846,2284988,2313845,2455198,2496391
36023,"Cortland, NY",1,Real GDP (thousands of chained 2017 dollars),1641021,1621807,1641433,1778818,1742512,1746196,1778015,1820218,1859594,1870376,1912061
36023,"Cortland, NY",3,Current-dollar GDP (thousands of current dollars),1271191,1302480,1365450,1494670,1466797,1506083,1595747,1683488,1743143,1778954,1860986
36025,"Delaware, NY",1,Real GDP (thousands of chained 2017 dollars),2191824,2159589,1929391,1914317,1895310,1951233,1857336,1846611,1880718,1927187,1919040
36025,"Delaware, NY",3,Current-dollar GDP (thousands of current dollars),1795125,1803361,1632180,1642542,1662245,1715093,1658009,1682723,1742882,1818067,1851114
36027,"Dutchess, NY",1,Real GDP (thousands of chained 2017 dollars),11881270,11911807,12400557,13058014,13188723,13673388,13916704,13837712,14000302,13728171,13826947
36027,"Dutchess, NY",3,Current-dollar GDP (thousands of current dollars),10261078,10445102,10987828,11549155,11788334,12229408,12536016,12672923,13034580,12998153,13384638
36029,"Erie, NY",1,Real GDP (thousands of chained 2017 dollars),47835257,49045298,49858143,50538686,51011838,52298001,51665538,53656459,53743185,55343375,56784096
36029,"Erie, NY",3,Current-dollar GDP (thousands of current dollars),37576990,39711314,41365431,42665120,43932735,45480463,45581724,48460721,49454774,51987532,54745488
36031,"Essex, NY",1,Real GDP (thousands of chained 2017 dollars),1487549,1500727,1492039,1504468,1590891,1611284,1643926,1659525,1698335,1650158,1606188
36031,"Essex, NY",3,Current-dollar GDP (thousands of current dollars),1125408,1181998,1214810,1252295,1355792,1385587,1431409,1474956,1543806,1535186,1537575
36033,"Franklin, NY",1,Real GDP (thousands of chained 2017 dollars),1715291,1730918,1777671,1830930,1842528,1959211,2002000,1979927,1972823,1907326,1866923
36033,"Franklin, NY",3,Current-dollar GDP (thousands of current dollars),1298686,1356128,1446851,1524377,1569888,1692655,1762974,1785873,1827173,1803353,1806135
36035,"Fulton, NY",1,Real GDP (thousands of chained 2017 dollars),1725907,1730702,1689483,1702221,1728502,1824789,1784308,1789951,1812043,1736876,1743914
36035,"Fulton, NY",3,Current-dollar GDP (thousands of current dollars),1379232,1420122,1424183,1460434,1521206,1610588,1588817,1625387,1674199,1635888,1687091
36037,"Genesee, NY",1,Real GDP (thousands of chained 2017 dollars),2260708,2261858,2275563,2302921,2321855,2355087,2352674,2304449,2346855,2387215,2434347
36037,"Genesee, NY",3,Current-dollar GDP (thousands of current dollars),1744312,1799133,1897393,1955162,1992279,2051948,2111165,2124086,2217595,2292044,2372728
36039,"Greene, NY",1,Real GDP (thousands of chained 2017 dollars),2197127,2498418,2184242,2347072,2358214,2571383,2332258,2575920,2331433,2249781,2343880
36039,"Greene, NY",3,Current-dollar GDP (thousands of current dollars),1712317,2029412,1810838,1968814,2082606,2255507,2072868,2311833,2143633,2133168,2269769
36041,"Hamilton, NY",1,Real GDP (thousands of chained 2017 dollars),216315,212739,217163,218648,236097,245215,262443,253583,250726,261080,250690
36041,"Hamilton, NY",3,Current-dollar GDP (thousands of current dollars),164313,167703,176394,181303,199536,207834,225041,222261,225026,240562,238971
